accession_id,PCL_id,label,Class auto-annotation,cl_parent_1,cl_parent_2,cl_parent_3,cl_parent_4,definition,definition_ref,brain_region,brain_region_curie,brain_region_evidence,markers,marker_fbeta_score
CS202210140_336,PCL:0051336,Splat_335 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of HSPD1P8 (Hsap), AC003099.2 (Hsap). The soma of these cells can be found in the myelencephalon, pons. The reference data for this cell type is CS202210140_336.",DOI:10.1101/2022.10.12.511898,pons,HBA:9131,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 15.9%.,"HSPD1P8 (Hsap), AC003099.2 (Hsap)",0.7890855457227139
CS202210140_337,PCL:0051337,Splat_336 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of FAM83B (Hsap), ONECUT1 (Hsap). The soma of these cells can be found in the mesencephalon. The reference data for this cell type is CS202210140_337.",DOI:10.1101/2022.10.12.511898,mesencephalon,HBA:9001,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 91.5%.,"ONECUT1 (Hsap), FAM83B (Hsap)",0.7729805013927576
CS202210140_338,PCL:0051338,Splat_337 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TAFA4 (Hsap), ONECUT1 (Hsap), C5orf64 (Hsap). The soma of these cells can be found in the basal forebrain, mesencephalon. The reference data for this cell type is CS202210140_338.",DOI:10.1101/2022.10.12.511898,"mesencephalon, basal forebrain","HBA:9001, HBA:4300",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 17.6%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 81.9%.,"TAFA4 (Hsap), ONECUT1 (Hsap), C5orf64 (Hsap)",0.8007448789571694
CS202210140_339,PCL:0051339,Splat_338 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of HOXD3 (Hsap), FSHR (Hsap), RP11-354K4.2 (Hsap). The soma of these cells can be found in the myelencephalon. The reference data for this cell type is CS202210140_339.",DOI:10.1101/2022.10.12.511898,,,,"HOXD3 (Hsap), RP11-354K4.2 (Hsap), FSHR (Hsap)",0.7569296375266524
CS202210140_340,PCL:0051340,Splat_339 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_1001509"";""glycinergic neuron"")",,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of MEIS1 (Hsap), SLC6A5 (Hsap), LINC01798 (Hsap). The soma of these cells can be found in the pons. The reference data for this cell type is CS202210140_340.",DOI:10.1101/2022.10.12.511898,pons,HBA:9131,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 99.4%.,"MEIS1 (Hsap), SLC6A5 (Hsap), LINC01798 (Hsap)",0.43952412425644416
CS202210140_341,PCL:0051341,Splat_340 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of LHX9 (Hsap), ONECUT1 (Hsap), LINC01798 (Hsap). The soma of these cells can be found in the pons. The reference data for this cell type is CS202210140_341.",DOI:10.1101/2022.10.12.511898,pons,HBA:9131,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 88.3%.,"LINC01798 (Hsap), ONECUT1 (Hsap), LHX9 (Hsap)",0.5721153846153846
CS202210140_342,PCL:0051342,Splat_341 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of EBF3 (Hsap), EBF2 (Hsap), LINC01036 (Hsap). The soma of these cells can be found in the pons. The reference data for this cell type is CS202210140_342.",DOI:10.1101/2022.10.12.511898,pons,HBA:9131,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 98.8%.,"LINC01036 (Hsap), EBF2 (Hsap), EBF3 (Hsap)",0.6612529002320185
CS202210140_343,PCL:0051343,Splat_342 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of LINC01036 (Hsap), LINC02306 (Hsap). The soma of these cells can be found in the cerebellum. The reference data for this cell type is CS202210140_343.",DOI:10.1101/2022.10.12.511898,cerebellum,HBA:4696,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Cerebellum: 97.0%.,"LINC01036 (Hsap), LINC02306 (Hsap)",0.8288770053475935
CS202210140_344,PCL:0051344,Splat_343 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of HOXB3 (Hsap), CASZ1 (Hsap), EBF2 (Hsap). The soma of these cells can be found in the myelencephalon, spinal cord. The reference data for this cell type is CS202210140_344.",DOI:10.1101/2022.10.12.511898,,,,"HOXB3 (Hsap), EBF2 (Hsap), CASZ1 (Hsap)",0.6290584415584415
CS202210140_345,PCL:0051345,Splat_344 neuron (Hsap),CHRP NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of DOCK8 (Hsap), EBF3 (Hsap), AC067959.1 (Hsap). The soma of these cells can be found in the myelencephalon, spinal cord, pons. The reference data for this cell type is CS202210140_345.",DOI:10.1101/2022.10.12.511898,pons,HBA:9131,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 14.9%.,"EBF3 (Hsap), AC067959.1 (Hsap), DOCK8 (Hsap)",0.6087360594795539
CS202210140_346,PCL:0051346,Splat_345 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of HOXB3 (Hsap), LMX1B (Hsap), RP11-221G19.1 (Hsap). The soma of these cells can be found in the myelencephalon, spinal cord. The reference data for this cell type is CS202210140_346.",DOI:10.1101/2022.10.12.511898,,,,"LMX1B (Hsap), RP11-221G19.1 (Hsap), HOXB3 (Hsap)",0.46992481203007513
CS202210140_347,PCL:0051347,Splat_346 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of LMX1B (Hsap), ITGA11 (Hsap). The soma of these cells can be found in the myelencephalon, spinal cord. The reference data for this cell type is CS202210140_347.",DOI:10.1101/2022.10.12.511898,,,,"LMX1B (Hsap), ITGA11 (Hsap)",0.7095709570957095
CS202210140_348,PCL:0051348,Splat_347 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_1001509"";""glycinergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of PAX2 (Hsap), EBF3 (Hsap), HOXB3 (Hsap). The soma of these cells can be found in the myelencephalon, spinal cord. The reference data for this cell type is CS202210140_348.",DOI:10.1101/2022.10.12.511898,,,,"HOXB3 (Hsap), PAX2 (Hsap), EBF3 (Hsap)",0.5585683297180044
CS202210140_349,PCL:0051349,Splat_348 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_1001509"";""glycinergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of HOXD3 (Hsap), SALL3 (Hsap). The soma of these cells can be found in the myelencephalon, spinal cord. The reference data for this cell type is CS202210140_349.",DOI:10.1101/2022.10.12.511898,,,,"SALL3 (Hsap), HOXD3 (Hsap)",0.53156146179402
CS202210140_350,PCL:0051350,Splat_349 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_1001509"";""glycinergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of HOXD3 (Hsap), TSPAN18 (Hsap), AC079135.1 (Hsap). The soma of these cells can be found in the myelencephalon, spinal cord. The reference data for this cell type is CS202210140_350.",DOI:10.1101/2022.10.12.511898,,,,"TSPAN18 (Hsap), AC079135.1 (Hsap), HOXD3 (Hsap)",0.44413919413919406
CS202210140_351,PCL:0051351,Splat_350 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_1001509"";""glycinergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TTR (Hsap), HTR2C (Hsap), SLC6A5 (Hsap), ADAMTSL1 (Hsap). The soma of these cells can be found in the myelencephalon. The reference data for this cell type is CS202210140_351.",DOI:10.1101/2022.10.12.511898,,,,"SLC6A5 (Hsap), ADAMTSL1 (Hsap), TTR (Hsap), HTR2C (Hsap)",0.4719917012448132
CS202210140_352,PCL:0051352,Splat_351 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of OTX2-AS1 (Hsap), LINC00261 (Hsap). The soma of these cells can be found in the mesencephalon. The reference data for this cell type is CS202210140_352.",DOI:10.1101/2022.10.12.511898,mesencephalon,HBA:9001,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 90.0%.,"LINC00261 (Hsap), OTX2-AS1 (Hsap)",0.7796391752577319
CS202210140_353,PCL:0051353,Splat_352 neuron (Hsap),,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of GATA3 (Hsap), EBF3 (Hsap), LINC01210 (Hsap), LHX1 (Hsap). The soma of these cells can be found in the mesencephalon. The reference data for this cell type is CS202210140_353.",DOI:10.1101/2022.10.12.511898,mesencephalon,HBA:9001,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 97.3%.,"EBF3 (Hsap), GATA3 (Hsap), LHX1 (Hsap), LINC01210 (Hsap)",0.5737704918032788
CS202210140_354,PCL:0051354,Splat_353 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of GATA3 (Hsap), HPGD (Hsap), CTC-535M15.2 (Hsap). The soma of these cells can be found in the thalamus. The reference data for this cell type is CS202210140_354.",DOI:10.1101/2022.10.12.511898,thalamus,HBA:4392,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 97.2%.,"GATA3 (Hsap), HPGD (Hsap), CTC-535M15.2 (Hsap)",0.5993150684931507
CS202210140_355,PCL:0051355,Splat_354 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TCF7L2 (Hsap), LHX1 (Hsap), RP11-66G15.1 (Hsap). The soma of these cells can be found in the mesencephalon. The reference data for this cell type is CS202210140_355.",DOI:10.1101/2022.10.12.511898,mesencephalon,HBA:9001,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 86.4%.,"TCF7L2 (Hsap), LHX1 (Hsap), RP11-66G15.1 (Hsap)",0.4009433962264151
CS202210140_356,PCL:0051356,Splat_355 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TRHDE (Hsap), GATA3 (Hsap), KIZ-AS1 (Hsap), ZFPM2-AS1 (Hsap). The soma of these cells can be found in the mesencephalon. The reference data for this cell type is CS202210140_356.",DOI:10.1101/2022.10.12.511898,mesencephalon,HBA:9001,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 87.7%.,"ZFPM2-AS1 (Hsap), KIZ-AS1 (Hsap), GATA3 (Hsap), TRHDE (Hsap)",0.29693486590038315
CS202210140_357,PCL:0051357,Splat_356 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of GATA3 (Hsap), SATB1-AS1 (Hsap), CTC-535M15.2 (Hsap). The soma of these cells can be found in the mesencephalon, pons. The reference data for this cell type is CS202210140_357.",DOI:10.1101/2022.10.12.511898,"mesencephalon, pons","HBA:9001, HBA:9131",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 67.5%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 20.1%.,"SATB1-AS1 (Hsap), CTC-535M15.2 (Hsap), GATA3 (Hsap)",0.35
CS202210140_358,PCL:0051358,Splat_357 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TFAP2B (Hsap), LEF1 (Hsap), EMX2 (Hsap). The soma of these cells can be found in the mesencephalon. The reference data for this cell type is CS202210140_358.",DOI:10.1101/2022.10.12.511898,mesencephalon,HBA:9001,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 97.4%.,"TFAP2B (Hsap), LEF1 (Hsap), EMX2 (Hsap)",0.5411073825503356
CS202210140_359,PCL:0051359,Splat_358 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of GATA3 (Hsap), ZFHX3 (Hsap), GRIK1 (Hsap), TFAP2B (Hsap), TAFA1 (Hsap). The soma of these cells can be found in the mesencephalon. The reference data for this cell type is CS202210140_359.",DOI:10.1101/2022.10.12.511898,mesencephalon,HBA:9001,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 91.5%.,"TFAP2B (Hsap), GRIK1 (Hsap), ZFHX3 (Hsap), TAFA1 (Hsap), GATA3 (Hsap)",0.541044776119403
CS202210140_360,PCL:0051360,Splat_359 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TFAP2B (Hsap), LEF1 (Hsap), OTX2-AS1 (Hsap). The soma of these cells can be found in the mesencephalon. The reference data for this cell type is CS202210140_360.",DOI:10.1101/2022.10.12.511898,mesencephalon,HBA:9001,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 99.1%.,"TFAP2B (Hsap), OTX2-AS1 (Hsap), LEF1 (Hsap)",0.3116883116883117
CS202210140_361,PCL:0051361,Splat_360 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of NDST4 (Hsap), LEF1 (Hsap), OTX2 (Hsap). The soma of these cells can be found in the mesencephalon. The reference data for this cell type is CS202210140_361.",DOI:10.1101/2022.10.12.511898,mesencephalon,HBA:9001,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 99.1%.,"NDST4 (Hsap), LEF1 (Hsap), OTX2 (Hsap)",0.18469656992084435
CS202210140_362,PCL:0051362,Splat_361 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TAC1 (Hsap), GATA3 (Hsap), SIX3 (Hsap). The soma of these cells can be found in the mesencephalon, thalamus. The reference data for this cell type is CS202210140_362.",DOI:10.1101/2022.10.12.511898,"thalamus, mesencephalon","HBA:4392, HBA:9001",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 14.3%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 83.4%.,"TAC1 (Hsap), GATA3 (Hsap), SIX3 (Hsap)",0.40116279069767447
CS202210140_363,PCL:0051363,Splat_362 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of PREX2 (Hsap), PTPRK (Hsap), FSTL5 (Hsap), LUZP2 (Hsap). The soma of these cells can be found in the pons, cerebellum, mesencephalon. The reference data for this cell type is CS202210140_363.",DOI:10.1101/2022.10.12.511898,"cerebellum, mesencephalon, pons","HBA:4696, HBA:9001, HBA:9131",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Cerebellum: 34.7%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 21.7%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 39.4%.,"LUZP2 (Hsap), FSTL5 (Hsap), PTPRK (Hsap), PREX2 (Hsap)",0.5387931034482759
CS202210140_364,PCL:0051364,Splat_363 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of ST8SIA6 (Hsap), EBF2 (Hsap), NR2F2-AS1 (Hsap). The soma of these cells can be found in the thalamus, basal forebrain. The reference data for this cell type is CS202210140_364.",DOI:10.1101/2022.10.12.511898,"basal forebrain, thalamus","HBA:4300, HBA:4392",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 20.9%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 64.4%.,"EBF2 (Hsap), NR2F2-AS1 (Hsap), ST8SIA6 (Hsap)",0.7026627218934911
CS202210140_365,PCL:0051365,Splat_364 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TFAP2D (Hsap), NDST4 (Hsap), CTC-340A15.2 (Hsap). The soma of these cells can be found in the mesencephalon. The reference data for this cell type is CS202210140_365.",DOI:10.1101/2022.10.12.511898,mesencephalon,HBA:9001,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 99.6%.,"NDST4 (Hsap), TFAP2D (Hsap), CTC-340A15.2 (Hsap)",0.6644144144144144
CS202210140_366,PCL:0051366,Splat_365 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000617"";""GABAergic neuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of MEIS2 (Hsap), HTR2C (Hsap), GNAS (Hsap), CALM1 (Hsap), ZFHX3 (Hsap), CNTN1 (Hsap). The soma of these cells can be found in the pons, mesencephalon, myelencephalon. The reference data for this cell type is CS202210140_366.",DOI:10.1101/2022.10.12.511898,"mesencephalon, pons","HBA:9001, HBA:9131",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 30.2%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 43.0%.,"CNTN1 (Hsap), CALM1 (Hsap), HTR2C (Hsap), MEIS2 (Hsap), GNAS (Hsap), ZFHX3 (Hsap)",0.1245777027027027
CS202210140_367,PCL:0051367,Splat_366 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of EBF3 (Hsap), TCF7L2 (Hsap), KLHL1 (Hsap), DACH1 (Hsap). The soma of these cells can be found in the mesencephalon, pons, thalamus. The reference data for this cell type is CS202210140_367.",DOI:10.1101/2022.10.12.511898,"mesencephalon, thalamus, pons","HBA:9001, HBA:4392, HBA:9131",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 57.4%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 15.2%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 19.9%.,"EBF3 (Hsap), TCF7L2 (Hsap), KLHL1 (Hsap), DACH1 (Hsap)",0.21048109965635742
CS202210140_368,PCL:0051368,Splat_367 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TAC1 (Hsap), PRLR (Hsap), TCF7L2 (Hsap). The soma of these cells can be found in the mesencephalon. The reference data for this cell type is CS202210140_368.",DOI:10.1101/2022.10.12.511898,mesencephalon,HBA:9001,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 96.9%.,"PRLR (Hsap), TAC1 (Hsap), TCF7L2 (Hsap)",0.32849829351535836
CS202210140_369,PCL:0051369,Splat_368 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of EBF3 (Hsap), TCF7L2 (Hsap), EBF1 (Hsap), SNHG14 (Hsap). The soma of these cells can be found in the mesencephalon, thalamus. The reference data for this cell type is CS202210140_369.",DOI:10.1101/2022.10.12.511898,"thalamus, mesencephalon","HBA:4392, HBA:9001",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 13.4%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 84.5%.,"EBF3 (Hsap), EBF1 (Hsap), SNHG14 (Hsap), TCF7L2 (Hsap)",0.22163120567375885
CS202210140_370,PCL:0051370,Splat_369 neuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")",,,,"A neuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TFAP2B (Hsap), LHX9 (Hsap), RP4-678D15.1 (Hsap). The soma of these cells can be found in the mesencephalon. The reference data for this cell type is CS202210140_370.",DOI:10.1101/2022.10.12.511898,mesencephalon,HBA:9001,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 96.5%.,"TFAP2B (Hsap), RP4-678D15.1 (Hsap), LHX9 (Hsap)",0.5965909090909091
